Argentina,12,176.42153052040018,20097594606250.004
Armenia,2,20.53291982630001,375574257095.00006
Australia,262,835.7499401985006,7039293771643.003
Austria,13,74.57374117430004,768383397942.0006
Azerbaijan,2,10.912217339600002,120678445421.00006
Bahrain,1,3.359177607300001,49001997401.0
Bangladesh,2,6.9814630685000125,909468662408.0
Belgium,15,103.65925315820002,1343041108231.001
Bolivia,2,58.85964793160002,5004206384913.0
Brazil,84,1071.8373881952007,34529701172785.016
Bulgaria,20,271.77811270460023,6215828279533.009
Cambodia,2,6.064002032100001,987796823131.0
Canada,374,1637.7082084096007,15897490063481.008
Chile,40,446.7838309796003,12447635979539.008
China,1,16.96579545170001,688941109154.0
Colombia,17,328.1245523871002,25721619200054.016
Costa Rica,2,78.22687361170006,5532745406158.001
Croatia,1,26.3268203661,695519406455.0015
Cyprus,3,29.34406044300001,477548383133.0
Czech Republic,6,43.81203659670002,527266699296.0
Denmark,6,61.13790455300005,802686062594.0
Ecuador,2,60.052891162600005,5194103346160.0
Egypt,2,17.3442402112,614555312543.0
Estonia,4,21.686954420800014,133703395482.0
Finland,38,96.34268182600007,499877403718.00006
France,439,1159.0843128628005,10909460324941.01
Germany,213,631.8059856239004,7273875106967.002
Greece,6,53.22233402290006,802742590613.0009
Guatemala,2,74.22666461020006,5835856359058.001
Hong Kong,42,127.10544626930002,2336931281610.0034
Hungary,8,78.55629278570005,993460231614.0022
Iceland,2,6.677596227900012,111157234145.0
India,360,1660.0177006210013,41188563747900.03
Indonesia,222,2430.4333258391007,120632046556961.06
Ireland,85,322.26200345740006,2565207929097.0034
Israel,29,102.93762289790004,1018271816275.002
Italy,32,211.0995350162002,2958598293875.0005
Japan,259,799.4033879821005,5121392781974.002
Kazakhstan,6,21.395419130100002,267499819703.00003
Latvia,6,21.19123025990001,116190455760.00008
Lithuania,4,36.4384159239,367289555356.0001
Luxembourg,5,19.180858684100006,131576295400.0
Macedonia,1,34.56481763810002,1258627998454.0
Malaysia,37,379.87329934190024,17215294176289.016
Mexico,34,392.4736296693003,18169585327852.008
Moldova,7,39.439886812400005,404075302236.00024
Morocco,1,5.86442185820002,285300235720.0005
Myanmar,1,5.489460134200001,72234971021.0
Nepal,2,0.02839526100000014,422345964.0
Netherlands,152,467.95842188760025,4037404056003.004
Nigeria,2,4.098938024900003,366183915242.0
Norway,14,62.35993409690005,825587910980.0011
Oman,1,0.02368373520000011,217342648.0
Pakistan,2,0.12457210780000016,1588261400.0
Peru,8,186.56777771780014,16575860716268.027
Philippines,20,129.051192151,6382602640584.001
Poland,28,109.41994187010008,798391210814.0002
Portugal,19,181.95116504840007,4125838357765.003
Puerto Rico,2,7.2642429318,380247979922.0005
Romania,24,172.5685328904001,2171612271441.0017
Russia,21,233.38343117710014,5131853403384.003
Saudi Arabia,4,27.852865910500007,566942053928.0002
Serbia,5,90.72958285170007,2117837472277.005
Singapore,447,1195.9257361178004,30277091244388.01
Slovakia,2,8.05310373460001,103717657737.00009
Slovenia,1,15.3113612619,231687094771.00024
South Africa,47,159.94328116560007,3444112003753.0024
South Korea,44,98.43909556530008,1274954191744.0007
Spain,114,1208.6749982765004,35219800645285.01
Sweden,113,201.86705708870005,1101534196035.0
Switzerland,8,64.05054762780003,1234843021130.0
Taiwan,9,39.83143959340001,728685543889.001
Thailand,7,58.30633042970004,1619640346964.0005
Turkey,26,132.21987871700009,1398805490225.0005
Ukraine,8,66.11012084360006,1682856382042.0002
United Arab Emirates,16,79.31599741530002,1367300450251.001
United Kingdom,305,1439.6100811996002,35039876907518.01
United States,2222,9848.314294490898,135259087788450.03
Vietnam,14,113.57395295400005,4909471430212.0
